customer_id,usage_drop,open_tickets,failed_payments,contract_length,login_frequency,feature_adoption,support_interactions,region,segment,health_score,risk_score
CUST_00001,37.454011884736246,14,7,21,82,9.997491581800288,10,APAC,Startup,47.35383309385055,100.0
CUST_00002,2.0584494295802447,1,7,44,29,21.233911067827616,20,US-East,Enterprise,76.54133303476024,68.68017704126987
CUST_00003,29.122914019804192,9,2,44,54,98.32308858067881,2,US-East,Startup,75.28170017779232,62.75271476390072
CUST_00004,1.3264961159866528,13,1,58,8,1.5966252220214194,1,EU,Enterprise,50.02447882621325,74.08249911666682
CUST_00005,83.31949117361643,2,0,36,49,66.2522284353982,1,APAC,SMB,46.51259387499998,39.98688869470921
CUST_00006,3.1313292455558583,17,9,44,33,39.51502360018144,35,APAC,SMB,52.322520566314566,100.0
CUST_00007,19.59828624191452,7,4,16,81,53.969213238907976,23,APAC,Enterprise,55.89911513964838,47.664670056293225
CUST_00008,14.092422497476264,14,0,25,70,42.340148070636964,0,EU,Startup,74.44452340848306,58.53433555086355
CUST_00009,77.12703466859458,4,9,39,40,91.49596755437808,8,APAC,Startup,29.504751837103505,100.0
CUST_00010,31.09823217156622,4,2,44,85,88.72127425763266,0,EU,Enterprise,81.99717372687518,36.485429626778675
CUST_00011,72.17295211648732,13,6,27,8,71.06628896857873,25,APAC,Enterprise,36.078528392722326,100.0
CUST_00012,50.85706911647028,4,6,39,14,75.55511385430486,35,EU,SMB,53.533684637969515,83.5646914867723
CUST_00013,88.04678390152577,9,8,53,5,45.653457048291024,43,APAC,Enterprise,39.90260472228369,100.0
CUST_00014,31.800347497186387,0,0,57,26,42.71077886262563,12,US-East,Enterprise,44.21475210460323,24.994265175125363
CUST_00015,11.98653673336828,11,7,15,58,32.320293202075526,31,US-West,Enterprise,34.0360862634282,95.60521210281
CUST_00016,25.39154139343447,11,6,2,2,30.087830981676966,48,EU,Enterprise,43.55193172121153,95.34625816805989
CUST_00017,34.5071248026683,0,2,2,52,48.9452760277563,31,EU,Startup,92.37693919699399,41.13172069466279
CUST_00018,36.96544560614045,16,5,24,68,63.23058305935795,5,APAC,Enterprise,64.77545815462666,92.6222417677213
CUST_00019,15.071754396542946,5,2,20,58,22.02410475655483,25,APAC,Startup,52.97545508385902,39.12361783723824
CUST_00020,17.436642900499145,0,7,39,81,83.7710105907328,10,EU,Startup,67.6521257950978,48.3763328855293
CUST_00021,87.7339353380981,2,6,16,89,98.21683433294356,48,APAC,Enterprise,54.51743497022317,72.7099436315703
CUST_00022,90.04180571633304,8,8,35,18,72.59556788702393,2,US-East,Startup,29.72190045829037,100.0
CUST_00023,93.56349942209475,3,5,40,83,58.06866214364547,47,US-East,SMB,53.021974227905204,68.58241345352222
CUST_00024,16.080805141749867,17,1,54,34,65.19612595026005,40,APAC,Startup,47.7544366948662,72.32598079504344
CUST_00025,72.09399242521293,0,2,22,21,24.398964337908357,37,APAC,Startup,51.06721244842509,52.389730049813686
CUST_00026,43.43943655104287,0,0,5,60,49.919337988475235,3,US-East,SMB,73.87587037765866,20.105628256082472
CUST_00027,95.39285770025873,5,2,41,36,92.83185625877253,48,APAC,Enterprise,72.89578325103818,82.35979423886262
CUST_00028,7.534625600612821,0,2,18,24,39.46914668094722,2,APAC,Startup,64.4214099599469,27.26691980777871
CUST_00029,99.00538501042632,1,9,2,89,74.07686177542044,32,EU,Enterprise,49.94630845491119,87.47645075874254
CUST_00030,29.651014364779847,2,1,25,23,91.32405525564712,6,US-East,SMB,88.6268672622484,33.986306009597996
CUST_00031,79.57926694361011,11,2,23,14,37.5582952639944,1,EU,Enterprise,57.755440767781955,80.34630555649237
CUST_00032,15.50416167277442,16,3,42,69,30.326551467322282,42,US-East,Enterprise,58.89053440922065,67.4544983620366
CUST_00033,45.72651616137286,5,3,30,46,69.95122107671938,39,US-East,Startup,42.423302446519976,58.59591517463593
CUST_00034,43.352073758074205,4,9,53,61,83.59801205122058,8,US-West,Enterprise,52.999579789393856,88.28084065610258
CUST_00035,44.235222973110446,15,8,40,0,95.48652806631941,38,US-East,Startup,32.17639321442606,100.0
CUST_00036,4.771612769164879,15,2,37,85,1.4393488629755868,13,APAC,Enterprise,69.52534231729676,65.71923753889575
CUST_00037,46.46738129396114,4,6,58,9,94.9145731591386,35,US-West,Startup,54.362850120285366,74.18826528285003
CUST_00038,50.31362585800877,0,7,5,3,61.585116438991385,15,APAC,Startup,48.56910445013057,74.64694190724035
CUST_00039,80.09492946823997,11,1,35,32,45.825289049151664,42,US-East,SMB,43.12746356654492,81.93976296576061
CUST_00040,20.66843598767454,12,1,51,34,33.65542148887265,25,US-West,SMB,68.7976870988952,55.417714606526346
CUST_00041,81.44684825889358,8,6,4,57,69.67371653641507,44,APAC,SMB,49.05348974331424,94.3265434212703
CUST_00042,42.347094230811855,2,0,35,35,37.201808579278314,38,APAC,Enterprise,76.56289947133568,32.40331128629247
CUST_00043,23.85968597903402,12,6,25,29,90.25529066795667,19,EU,Startup,51.49850687061219,98.59403399490989
CUST_00044,38.92016787341631,11,8,19,75,35.49051904627206,27,US-East,Enterprise,67.02070389331561,100.0
CUST_00045,29.321077169806454,19,4,36,52,79.15790437258485,38,EU,SMB,53.75489477647664,91.28434203754561
CUST_00046,54.95288823237355,4,2,23,74,11.706701642760587,11,US-East,Enterprise,67.25998171947356,51.10202474713775
CUST_00047,83.84807637639851,13,7,42,8,82.18600592903562,1,EU,Startup,42.91702136052503,100.0
CUST_00048,98.6001063822871,3,3,6,30,48.16669879641153,43,US-West,Startup,22.77421355505421,84.57029547814187
CUST_00049,11.119748230615134,2,1,28,57,74.09738609106682,7,US-East,Startup,85.55586904785638,15.724064332296713
CUST_00050,58.336876509715964,16,8,56,32,22.359583851945263,5,APAC,SMB,9.685402423047776,100.0
CUST_00051,92.4643330223596,4,3,35,18,96.9302535619099,17,EU,Startup,44.78146288639992,70.21306739140995
CUST_00052,99.58313750293706,2,6,57,74,28.096318959223034,31,APAC,Enterprise,40.006674005831535,75.94926067603129
CUST_00053,27.738118298113267,3,9,8,57,22.939474570494966,27,APAC,Enterprise,33.54242052549807,82.05815307478207
CUST_00054,68.47311725538793,12,2,6,81,41.66390577384792,4,APAC,SMB,38.65531861925439,89.4672611662206
CUST_00055,86.60638895004084,12,4,55,32,77.76022837352255,17,US-West,Startup,23.350772280107357,100.0
CUST_00056,84.21189231357087,12,0,34,0,1.3671964826997285,5,US-East,SMB,36.366080958408844,95.76639916182523
CUST_00057,91.31657522576428,4,4,37,73,84.96473906774115,16,US-East,Startup,46.90355059813837,66.81682310234783
CUST_00058,27.473179702590876,3,0,49,31,4.689646779121992,30,US-West,SMB,67.43463322588696,22.97772060345438
CUST_00059,77.23183917356393,17,0,54,4,8.840822336564658,16,US-West,Startup,38.210331094267,100.0
CUST_00060,21.296416150891073,5,1,38,49,58.991768685463306,29,US-West,Enterprise,64.12402108707518,37.03503349377793
CUST_00061,51.39894891598108,14,6,42,50,69.76418714934634,28,APAC,Enterprise,29.511119004056077,100.0
CUST_00062,98.0032575285477,1,2,47,22,12.804583895777244,30,APAC,Enterprise,56.93763798298664,54.497495750042475
CUST_00063,89.67884099060119,2,1,58,50,4.086861626647886,4,US-West,Enterprise,34.406465664464264,40.47476774077442
CUST_00064,54.87153092074087,4,8,12,89,89.42172628959257,48,US-East,SMB,79.94905099638052,81.13714423803314
CUST_00065,79.94103989090426,14,7,30,62,37.72859652420726,16,US-East,Startup,41.490520157364905,100.0
CUST_00066,18.45210193563773,14,7,22,13,61.825477153029595,22,US-West,SMB,65.49548537371535,100.0
CUST_00067,14.77390919062267,18,6,3,22,51.167744211566614,46,APAC,Enterprise,34.845304536297284,93.59813550961668
CUST_00068,73.7405206093819,9,6,57,16,21.144800699654464,25,US-East,Enterprise,16.84450477830689,100.0
CUST_00069,67.91023191444896,2,8,45,17,8.69202880874237,46,APAC,Enterprise,39.49634042823665,100.0
CUST_00070,56.44585425226413,9,8,37,5,89.96473971450123,33,US-West,Enterprise,42.19868024769957,95.90209670258533
CUST_00071,93.36918237598746,5,5,55,3,85.08175178361462,29,APAC,Enterprise,40.686724334194224,85.5816129003073
